sentence,label,label_name,finbert_prediction,tfidf_prediction,rule_prediction,rule_correct,tfidf_correct,finbert_correct,negation,contrast,expectation,uncertainty,disagreement_category,rule_prediction_name,tfidf_prediction_name,finbert_prediction_name
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",1,neutral,2,1,1,True,True,False,False,False,True,False,tfidf_rule_correct,neutral,neutral,positive
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,0,negative,0,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,negative
"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
The company expects its net sales in 2008 to increase 5-10 % from 2007 .,2,positive,2,2,1,False,True,True,False,False,True,False,finbert_tfidf_correct,neutral,positive,positive
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
EUR 152.4 mn of this was net interest income .,1,neutral,1,2,1,True,False,True,False,False,False,False,finbert_rule_correct,neutral,positive,neutral
"The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"At some point in 2010 , all separate company names , such as Palmberg , Tekmanni , Lemcon , Forssan Betoni , Suonenjoen Betonituote , among others , will disappear .",1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
Le Lay succeeds Walter G++nter and will be based in Finland .,1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
"So far the company has awarded more than $ 350,000 worth of tools and materials .",1,neutral,2,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,positive
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",0,negative,0,1,0,True,False,True,False,False,True,False,finbert_rule_correct,negative,neutral,negative
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",2,positive,2,1,0,False,False,True,False,False,False,False,finbert_only_correct,negative,neutral,positive
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",2,positive,2,1,2,True,False,True,True,True,False,False,finbert_rule_correct,positive,neutral,positive
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
The sales price was not disclosed .,1,neutral,1,1,2,False,True,True,True,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
The second-quarter net sales are expected to be on par with the first quarter of 2009 .,1,neutral,0,1,1,True,True,False,False,False,True,False,tfidf_rule_correct,neutral,neutral,negative
"We offer our clients integrated management consulting , total solutions for complex projects and efficient , best-in-class design and supervision .",1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",2,positive,2,1,2,True,False,True,False,False,True,False,finbert_rule_correct,positive,neutral,positive
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",1,neutral,2,1,2,False,True,False,False,False,False,False,tfidf_only_correct,positive,neutral,positive
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"The opportunity will be available only for few employees , however .",1,neutral,1,1,2,False,True,True,False,True,False,False,finbert_tfidf_correct,positive,neutral,neutral
The value of the deal was not disclosed .,1,neutral,1,1,2,False,True,True,True,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Financial terms were n't disclosed .,1,neutral,1,1,0,False,True,True,True,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
Unit costs for flight operations fell by 6.4 percent .,2,positive,0,0,1,False,False,False,False,False,False,False,all_wrong,neutral,negative,negative
The company is well positioned in Brazil and Uruguay .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .",0,negative,0,2,1,False,False,True,False,False,True,False,finbert_only_correct,neutral,positive,negative
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
The acquisition price was not disclosed .,1,neutral,1,1,2,False,True,True,True,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
Nordea was the cheapest also for a couple in their 30s with debt .,1,neutral,2,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,positive
"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
"Sales are expected to increase in the end of the year 2006 , however .",2,positive,2,2,1,False,True,True,False,True,True,False,finbert_tfidf_correct,neutral,positive,positive
Net sales surged by 30 % to EUR 36 million .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",2,positive,2,1,1,False,False,True,False,False,False,True,finbert_only_correct,neutral,neutral,positive
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",2,positive,2,2,1,False,True,True,False,True,False,False,finbert_tfidf_correct,neutral,positive,positive
"Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Passenger volumes rose by 8.4 % in the accounting period .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana , Finland .",1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",2,positive,2,2,1,False,True,True,False,True,False,False,finbert_tfidf_correct,neutral,positive,positive
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
fi is developing cooperation in keyword advertising with Microsoft .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",0,negative,0,2,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,positive,negative
Lean System supports change management and component purchasing extremely well .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",0,negative,0,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,negative
Altogether Finnair has canceled over 500 flights because of the strike .,0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"This truly takes efficiency to new heights , '' Mr. Metso adds .",2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
Net sales in 2007 are expected to be 10 % up on 2006 .,2,positive,2,1,1,False,False,True,False,False,True,False,finbert_only_correct,neutral,neutral,positive
BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
"The businesses to be divested offer dairy , edible fats , ready-meal and ice-cream packaging to multinational and local customers .",1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,2,positive,0,2,0,False,True,False,False,False,False,False,tfidf_only_correct,negative,positive,negative
Acquisitions have been made and businesses have been well integrated .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,2,positive,0,2,0,False,True,False,False,False,False,False,tfidf_only_correct,negative,positive,negative
"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",1,neutral,2,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,positive
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",0,negative,0,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,negative
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",0,negative,2,2,1,False,False,False,False,False,False,False,all_wrong,neutral,positive,positive
The policy was also aimed at making the companies more profitable and competitive .,2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,1,neutral,0,1,1,True,True,False,False,False,False,True,tfidf_rule_correct,neutral,neutral,negative
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Operating profit for 2009 lower than outlook published earlier .,0,negative,0,0,1,False,True,True,False,False,True,False,finbert_tfidf_correct,neutral,negative,negative
"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter .",2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",0,negative,0,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,negative
"The 50-50 joint venture , to be called Nokia Siemens Networks , will be comprised of Nokia 's network business group and Siemens ' carrier-related operations , creating estimated synergies of 1.5 billion euros ( $ 1.9 billion ) by 2010 , Nokia said .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,0,negative,2,0,1,False,True,False,False,False,False,False,tfidf_only_correct,neutral,negative,positive
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .",1,neutral,2,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,positive
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"According shipping company Viking Line , the EU decision will have a significant financial impact .",1,neutral,0,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,negative
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",1,neutral,2,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,positive
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",0,negative,0,2,0,True,False,True,False,True,False,False,finbert_rule_correct,negative,positive,negative
M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .,2,positive,2,2,1,False,True,True,False,False,True,False,finbert_tfidf_correct,neutral,positive,positive
"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",0,negative,0,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,negative
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,2,positive,0,2,0,False,True,False,False,False,False,False,tfidf_only_correct,negative,positive,negative
Terms of the acquisition were not disclosed .,1,neutral,1,1,2,False,True,True,True,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Sales of mid-strength beer decreased by 40 % .,0,negative,0,1,2,False,False,True,False,False,False,False,finbert_only_correct,positive,neutral,negative
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
Net sales fell by 5 % from the previous accounting period .,0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
