id,phenomenon,pair,variant,sentence,intended_label_name,intended_label,rule_prediction,rule_score,rule_positive_hits,rule_negative_hits,tfidf_prediction,tfidf_confidence,tfidf_prob_negative,tfidf_prob_neutral,tfidf_prob_positive,finbert_prediction,finbert_confidence,finbert_prob_negative,finbert_prob_neutral,finbert_prob_positive,rule_prediction_name,tfidf_prediction_name,finbert_prediction_name,rule_aligned,tfidf_aligned,finbert_aligned,tfidf_intended_probability,finbert_intended_probability
N3,negation,contract_negation,affirmative,The company secured a major contract.,positive,2,1,0,0,0,1,0.7991055953522019,0.0512448978813927,0.7991055953522019,0.14964950676640543,2,0.9991679,0.0002768276,0.000555255,0.9991679,neutral,neutral,positive,False,False,True,0.14964950676640543,0.9991679191589355
N4,negation,contract_negation,negated,The company did not secure a major contract.,negative,0,1,0,0,0,1,0.9080505001551288,0.029105152613886735,0.9080505001551288,0.06284434723098457,1,0.9681103,0.028932383,0.9681103,0.002957277,neutral,neutral,neutral,False,False,False,0.029105152613886735,0.02893238328397274
R1,intention_vs_realization,capacity_expansion,intention,The company plans to expand production capacity next year.,neutral,1,1,0,0,0,2,0.5678662051670661,0.10588830355026378,0.32624549128267005,0.5678662051670661,2,0.9988411,0.0003068053,0.00085211144,0.9988411,neutral,positive,positive,True,False,False,0.32624549128267005,0.0008521114359609783
R2,intention_vs_realization,capacity_expansion,realized,The company expanded production capacity this year.,positive,2,1,0,0,0,2,0.4664522352728291,0.0860040939562907,0.4475436707708802,0.4664522352728291,2,0.99911064,0.000332582,0.000556798,0.99911064,neutral,positive,positive,False,True,True,0.4664522352728291,0.9991106390953064
R3,intention_vs_realization,market_entry,intention,The company is considering entering a new market.,neutral,1,1,0,0,0,1,0.9051724676793955,0.023613761944323675,0.9051724676793955,0.07121377037628068,1,0.99547464,0.00029609556,0.99547464,0.00422929,neutral,neutral,neutral,True,True,True,0.9051724676793955,0.995474636554718
R4,intention_vs_realization,market_entry,realized,The company entered a new market and began commercial sales.,positive,2,1,0,0,0,1,0.7635074122960027,0.05086409857605267,0.7635074122960027,0.18562848912794466,2,0.64942896,0.0011578399,0.34941325,0.64942896,neutral,neutral,positive,False,False,True,0.18562848912794466,0.6494289636611938
X1,contrast_composition,revenue_profit,both_positive,Revenue increased and operating profit increased.,positive,2,1,0,0,0,2,0.5322876921280713,0.06595180360883711,0.4017605042630917,0.5322876921280713,2,0.9992052,0.00029935286,0.00049550313,0.9992052,neutral,positive,positive,False,True,True,0.5322876921280713,0.9992051720619202
X2,contrast_composition,revenue_profit,revenue_up_profit_down,"Revenue increased, but operating profit decreased.",neutral,1,1,0,0,0,1,0.36540754176707996,0.3586914005685804,0.36540754176707996,0.2759010576643397,0,0.9189245,0.9189245,0.016129365,0.064946145,neutral,neutral,negative,True,True,False,0.36540754176707996,0.01612936519086361
X3,contrast_composition,revenue_profit,revenue_down_profit_up,"Revenue decreased, but operating profit increased.",neutral,1,1,0,0,0,2,0.3699206299301538,0.2933936056531463,0.33668576441669984,0.3699206299301538,0,0.80208987,0.80208987,0.02717029,0.1707398,neutral,positive,negative,True,False,False,0.33668576441669984,0.027170289307832718
X4,contrast_composition,revenue_profit,both_negative,Revenue decreased and operating profit decreased.,negative,0,1,0,0,0,0,0.5270791608955483,0.5270791608955483,0.4147979291858174,0.05812290991863423,0,0.9970054,0.9970054,0.0022585136,0.0007360316,neutral,negative,negative,False,True,True,0.5270791608955483,0.9970054030418396
U1,uncertainty,positive_uncertainty,certain,Operating profit will increase next year.,positive,2,1,0,0,0,2,0.7306484162002922,0.09853763813997209,0.17081394565973576,0.7306484162002922,2,0.9989213,0.00038226976,0.0006964801,0.9989213,neutral,positive,positive,False,True,True,0.7306484162002922,0.998921275138855
U2,uncertainty,positive_uncertainty,uncertain,Operating profit may increase next year.,positive,2,1,0,0,0,2,0.6993689922328724,0.11318369187615217,0.1874473158909755,0.6993689922328724,2,0.9979619,0.0006158102,0.0014222731,0.9979619,neutral,positive,positive,False,True,True,0.6993689922328724,0.9979618787765503
U3,uncertainty,negative_uncertainty,certain,Operating profit will decrease next year.,negative,0,1,0,0,0,2,0.5077657626831092,0.18090810446732572,0.3113261328495649,0.5077657626831092,0,0.9906068,0.9906068,0.007651108,0.0017420368,neutral,positive,negative,False,False,True,0.18090810446732572,0.9906067848205566
U4,uncertainty,negative_uncertainty,uncertain,Operating profit may decrease next year.,negative,0,1,0,0,0,2,0.49007701954939625,0.17721656304862343,0.3327064174019804,0.49007701954939625,0,0.9888841,0.9888841,0.009267447,0.001848394,neutral,positive,negative,False,False,True,0.17721656304862343,0.9888840913772583
