sentence,label_name,rule_prediction_name,tfidf_prediction_name,finbert_prediction_name,disagreement_category,negation,contrast,expectation,uncertainty,primary_phenomenon,failure_explanation,interpretation_confidence
Karppinen expects the consolidation trend to continue in the Finnish market .,neutral,neutral,positive,positive,rule_only_correct,False,False,True,False,expectation_vs_realization,"The sentence reports an expectation that an existing consolidation trend will continue rather than a realized positive outcome. TF-IDF and FinBERT interpret the expectation as positive, while the rule model preserves the annotated neutral sentiment.",high
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,negative,negative,positive,positive,rule_only_correct,False,False,False,False,comparative_financial_reasoning,"An operating loss increases from 10.8 million to 17 million. The word 'increased' is normally associated with positive growth, but here increasing a loss is negative. TF-IDF and FinBERT fail to combine the metric identity with the direction of change.",high
"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .",positive,neutral,neutral,neutral,all_wrong,False,False,False,False,implicit_business_evaluation,Positive sentiment is implied by the judgment that the acquired business 'fits well' into the company. None of the models captures this relatively implicit business evaluation.,medium
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",negative,neutral,neutral,neutral,all_wrong,False,False,False,False,event_consequence_knowledge,"Negative sentiment follows from understanding that commercial vessels becoming stuck in thick ice is an adverse operational event. All three models return neutral, suggesting difficulty with sentiment that depends on event consequences rather than explicit polarity words.",high
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",negative,neutral,neutral,neutral,all_wrong,False,False,False,False,event_consequence_knowledge,"Redundancies and temporary layoffs are adverse employment events, but all three systems classify the sentence as neutral. The polarity depends on understanding the real-world consequence of the event.",high
"The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .",positive,neutral,neutral,neutral,all_wrong,False,False,False,False,business_event_semantics,"The positive annotation depends on interpreting a major aircraft order and lead-airline status as favorable business developments. All three models remain neutral, indicating difficulty with implicit event-level business sentiment.",medium
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",negative,neutral,neutral,neutral,all_wrong,False,False,False,False,event_consequence_knowledge,"Ending employee contracts is an adverse employment event even without explicit sentiment vocabulary. All three models return neutral, suggesting limited event-consequence understanding.",high
"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",positive,neutral,neutral,neutral,all_wrong,False,False,False,False,business_event_semantics,"Being chosen as a principal supplier for a valuable multi-year contract is a positive commercial event. All three systems classify the sentence as neutral, failing to infer sentiment from the business event.",medium
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,positive,neutral,positive,positive,finbert_tfidf_correct,False,False,False,False,lexical_coverage,"Winning a large contract is explicitly favorable, and both learned models classify it correctly. The rule-based system returns neutral, consistent with limited dictionary coverage for this construction.",high
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",negative,neutral,negative,negative,finbert_tfidf_correct,False,False,False,False,lexical_coverage,"The decrease in net sales is correctly recognized as negative by TF-IDF and FinBERT. The rule model returns neutral, indicating that its fixed lexicon does not reliably cover this wording.",high
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,neutral,positive,positive,finbert_tfidf_correct,False,False,False,False,lexical_coverage,"Revenue growth is correctly classified as positive by both learned models. The rule system returns neutral, illustrating the limited coverage of the fixed financial dictionary in this sentence.",high
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",positive,neutral,positive,positive,finbert_tfidf_correct,False,False,False,False,lexical_coverage,"The phrase 'up from' expresses a favorable increase in net sales. TF-IDF and FinBERT capture this relation, while the rule system returns neutral because its lexical rules do not represent the full comparative construction.",high
"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter .",positive,positive,neutral,positive,finbert_rule_correct,False,False,False,False,contextual_financial_transition,"The phrase 'swung into profit' describes a transition from a worse financial state to a profitable one. FinBERT and the rule model capture the positive meaning, while TF-IDF fails to recognize the multiword financial transition.",high
"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",positive,positive,neutral,positive,finbert_rule_correct,False,False,False,False,evaluative_business_language,"Positive sentiment is conveyed through explicitly evaluative language such as 'excited', 'proud', and 'Product of the Year'. FinBERT and the rule model capture this evaluation, while TF-IDF returns neutral.",high
"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus .",positive,positive,neutral,positive,finbert_rule_correct,False,False,False,False,benchmark_expectation_semantics,"The positive meaning depends on financial benchmark language: 'good first quarter' and performance 'above or in line with consensus'. FinBERT and the rule system classify it correctly, while TF-IDF misses the domain-specific evaluative combination.",medium
"According shipping company Viking Line , the EU decision will have a significant financial impact .",neutral,neutral,neutral,negative,tfidf_rule_correct,False,False,False,False,surface_lexical_polarity,"The phrase 'significant financial impact' does not specify whether the impact is positive or negative, so the annotation is neutral. FinBERT appears to infer negative polarity from the word 'impact', while the other models remain neutral.",medium
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,neutral,neutral,positive,tfidf_rule_correct,False,False,False,False,future_intention_vs_realization,"The sentence describes a future plan to expand rather than a realized improvement. FinBERT treats expansion language as positive, whereas the rule and TF-IDF models correctly retain the neutral annotation.",high
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",neutral,neutral,neutral,negative,tfidf_rule_correct,False,True,True,False,contrast_composition,"The sentence contains competing signals: the results are described as 'soft', but the company retained its guidance. The human label is neutral, suggesting the clauses offset one another. FinBERT overweights the negative evaluation, while the simpler models produce the neutral label.",high
