sentence,model,true_class,predicted_class
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA .",Rule-based,positive,negative
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,Rule-based,neutral,negative
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",Rule-based,positive,neutral
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",Rule-based,negative,neutral
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,Rule-based,negative,neutral
"SCOPI Chief Business Excellence Officer , Eng .",Rule-based,neutral,positive
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',Rule-based,positive,neutral
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .",Rule-based,negative,positive
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,Rule-based,negative,neutral
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",TF-IDF + Logistic Regression,positive,neutral
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",TF-IDF + Logistic Regression,positive,neutral
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",TF-IDF + Logistic Regression,negative,neutral
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",TF-IDF + Logistic Regression,positive,neutral
The company said that it has agreed to a EUR160m unsecured credit line from lenders .,TF-IDF + Logistic Regression,neutral,positive
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",TF-IDF + Logistic Regression,positive,neutral
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",TF-IDF + Logistic Regression,positive,neutral
"According to Olvi 's Managing Director Lasse Aho , the company has an ongoing MMX Plus project that aims to find growth outside Finland .",TF-IDF + Logistic Regression,positive,neutral
The increase range will vary up to 10 % .,TF-IDF + Logistic Regression,neutral,positive
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",TF-IDF + Logistic Regression,positive,neutral
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',TF-IDF + Logistic Regression,positive,neutral
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,TF-IDF + Logistic Regression,negative,neutral
"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",TF-IDF + Logistic Regression,positive,neutral
The company expects its net sales for the whole 2009 to remain below the 2008 level .,TF-IDF + Logistic Regression,negative,neutral
Both the net sales and operating profit were record high in the company 's history .,TF-IDF + Logistic Regression,positive,neutral
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",TF-IDF + Logistic Regression,positive,neutral
Cision says the sale will return its U.K. operation to profitability .,TF-IDF + Logistic Regression,positive,neutral
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",TF-IDF + Logistic Regression,positive,neutral
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,TF-IDF + Logistic Regression,negative,neutral
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,TF-IDF + Logistic Regression,positive,neutral
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,TF-IDF + Logistic Regression,negative,neutral
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .",TF-IDF + Logistic Regression,positive,neutral
EUR 152.4 mn of this was net interest income .,TF-IDF + Logistic Regression,neutral,positive
"The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",TF-IDF + Logistic Regression,positive,neutral
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",TF-IDF + Logistic Regression,negative,neutral
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",TF-IDF + Logistic Regression,positive,neutral
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",TF-IDF + Logistic Regression,positive,neutral
"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",TF-IDF + Logistic Regression,positive,neutral
"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",TF-IDF + Logistic Regression,positive,neutral
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",TF-IDF + Logistic Regression,positive,neutral
Unit costs for flight operations fell by 6.4 percent .,TF-IDF + Logistic Regression,positive,negative
The company is well positioned in Brazil and Uruguay .,TF-IDF + Logistic Regression,positive,neutral
"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .",TF-IDF + Logistic Regression,negative,positive
