sentence,label,label_name
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,1,neutral
The costs of the new ropax vessels are 30 % lower than those of the present ones .,2,positive
The serial bond is part of the plan to refinance the short-term credit facility .,1,neutral
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,1,neutral
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,2,positive
"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",1,neutral
Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,1,neutral
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",2,positive
We make available the following brand-new market analyses : Cement - UK Cement - Poland Cement - Belgium These analyses give a clear overview of the actual situation and future outlook of the cement industry in some European countries .,1,neutral
"The Division also includes joint sales , marketing and controlling functions for these units .",1,neutral
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",0,negative
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",1,neutral
Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .,1,neutral
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",1,neutral
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,1,neutral
"The contract value amounts to about EUR11m , the company added .",1,neutral
"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",2,positive
Consumption is forecast to grow by about 2 % .,2,positive
Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,1,neutral
The shipyard hopes the regional government in Andalusia can offer its some form of financial support .,1,neutral
"U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax .",1,neutral
No more waste-burning facilities should be built .,1,neutral
"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said .",1,neutral
Symphony Services provides development services for Aldata GOLD .,1,neutral
"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier .",1,neutral
This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .,2,positive
"treatment products in Usa , Canada , Mexico , Australia and Brazil Today , Global Research & Data Services is going to publish several market analyses about the markets for water treatment products in some selected countries .",1,neutral
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",2,positive
"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company .",1,neutral
"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007 .",0,negative
"The company 's set of services include digital printing , printing preparation , offset-printing , after-treatment services and send out services .",1,neutral
The expansion will be delivered in the fourth quarter of 2006 .,1,neutral
The closing of such transaction took place today .,1,neutral
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",0,negative
"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .",2,positive
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,1,neutral
"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",1,neutral
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",2,positive
"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .",1,neutral
The company has exported into about twenty European countries as well as to Africa .,1,neutral
"When dialing in , the participants should quote 877417 as conference ID .",1,neutral
"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",2,positive
"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",1,neutral
"shock phase ' , consumers have once again started to plan and implement building projects .",1,neutral
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,2,positive
"Growth was strongest in F-Secure 's operator ISPs , mobile operators and cable operators business .",2,positive
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",0,negative
"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) .",2,positive
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",1,neutral
Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .,1,neutral
Financial details were not disclosed .,1,neutral
`` Our aim is to understand different traffic patterns based on the use of each building .,1,neutral
The first phase will be completed by the end of 2012 .,1,neutral
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,0,negative
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .",2,positive
The first stage of the contract covers 133 stores and 600 cash registers .,1,neutral
The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,2,positive
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",0,negative
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",0,negative
"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",0,negative
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2,positive
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,1,neutral
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",1,neutral
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",1,neutral
The ECB can mainly target inflation .,1,neutral
This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,1,neutral
Hearst will be able to consolidate about 20 % of all Russian market for advertising in press after the purchase .,2,positive
"The acquired business main asset is a mobile authentication and signing solution , branded as Tectia MobileID , which provides authentication to web e-mail , SSL-VPN , MS SharePoint , Tectia Secure Solutions and other applications and resources .",1,neutral
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,1,neutral
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",0,negative
The company expects its net sales for the whole 2009 to be at previous year levels .,1,neutral
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,2,positive
The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,1,neutral
The company reiterates its outlook for 2009 .,1,neutral
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",2,positive
"ISMS does not disclose its financial results , the daily said .",1,neutral
"Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .",1,neutral
NASDAQ-listed Yahoo Inc has introduced a new service that enables Malaysians to take their favorite Internet content and services with them on their mobile phones .,2,positive
"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 .",1,neutral
"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 .",1,neutral
"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",1,neutral
"Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",2,positive
Earnings per share were EUR -0.04 -0.06 .,1,neutral
"Originally posted to the PCMag.com security blog , Security Watch .",1,neutral
Payment of shares shall be effected on subscription .,1,neutral
"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .",1,neutral
"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",1,neutral
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",2,positive
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",0,negative
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",2,positive
"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration .",1,neutral
"The official opening of the office , located in Prague , will be celebrated on May 20 .",1,neutral
The revenues of the business reached NOK 12 million for 2008 .,1,neutral
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",1,neutral
"Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro $ 664,000 for the same period of 2006 .",2,positive
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,1,neutral
No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,1,neutral
The company is presently examining whether the project would be financially feasible .,1,neutral
"The floor area of the Yliopistonrinne project will be 7,900 sq m 85,030 sq ft and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",1,neutral
The new technology improves the glass quality and consistency while increasing throughput .,2,positive
"The company said that currently the French distribution unit Ragot is located in Loudeac , Normandy , the distribution unit Waterqueen and line supplier Tortue in Saint Marcel in mid-France and the hook manufacturing unit VMC and hook distribution unit VMC Europe in Morvillars .",1,neutral
"The facility will be used to refinance Citycon 's existing credit facility , the company said .",1,neutral
"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",0,negative
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .",0,negative
Currently the quarterly applied surcharges differ significantly from the actual market prices .,1,neutral
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,1,neutral
Operating profit rose to 22.1 mln eur from 19.9 mln .,2,positive
The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,1,neutral
"Telecom has a foreign investment limit of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can pick up as much as 96.6 % .",1,neutral
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,0,negative
"Reporting in accordance with the merged business operations will start as of January 1 , 2011 .",1,neutral
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",2,positive
The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .,1,neutral
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",0,negative
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,2,positive
One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,1,neutral
"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .",0,negative
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",1,neutral
"The joint venture will invest about EUR 500,000 in production technology straight away .",1,neutral
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",1,neutral
"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .",2,positive
Operating loss landed at EUR39m including one-offs and at EUR27m excluding one-offs .,1,neutral
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",1,neutral
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",0,negative
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",2,positive
"Therefore , Phase III of the research will not be conducted by Abbott .",1,neutral
The business area 's net sales were slightly over 2m in 2006 .,1,neutral
The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,2,positive
"UPM said the move will lower net profit by  x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges .",0,negative
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",2,positive
"In Asia earlier , Japan 's Nikkei index fell 0.62 percent and Hong Kong 's Hang Seng Index rose 0.56 percent .",1,neutral
"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",1,neutral
`` There is no room to modify the share component as we have already indicated . '',1,neutral
"However , the bottom-line result improved thanks to positive financial items .",2,positive
"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .",0,negative
`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand .,1,neutral
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",1,neutral
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",2,positive
"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations .",1,neutral
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,2,positive
Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor .,1,neutral
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,0,negative
"In 2010 , the Marimekko Group s net sales were EUR 73,297 thousand ( EUR 72,473 thousand ) and operating profit was EUR 8,169 thousand ( EUR 6,291 thousand ) .",1,neutral
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",1,neutral
It is expected to be completed by the end of 2007 .,1,neutral
"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",1,neutral
Panostaja did not disclose the purchase price .,1,neutral
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,2,positive
"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com .",1,neutral
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,1,neutral
Public services will also be available .,1,neutral
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",0,negative
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",0,negative
Export declined by 6 percent to 16.4 million liters .,0,negative
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",1,neutral
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",0,negative
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",2,positive
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",1,neutral
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",2,positive
"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",1,neutral
The agreement is valid for four years .,1,neutral
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",1,neutral
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,1,neutral
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",1,neutral
"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA .",1,neutral
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",1,neutral
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,1,neutral
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",1,neutral
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",1,neutral
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",0,negative
GyPSii service supports ten different languages including Korean and Russian .,1,neutral
"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",2,positive
"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",2,positive
"Jarmo Honkamaa , head of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint .",2,positive
"The estimated turnover of the new company is LVL 2,5 million EEK 40 million .",1,neutral
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",2,positive
"The total value of the order , placed by Aspo ' marine transportation subsidiary ESL Shipping Oy , is EUR 60 million ( USD 77.5 m ) .",1,neutral
Number of offers received for this contract is two .,1,neutral
The net sales decreased to EUR 49.8 million from EUR 59.9 million .,0,negative
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",1,neutral
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",2,positive
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,2,positive
"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .",2,positive
"Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units .",1,neutral
In Sweden the agreement covers data communication services as well .,1,neutral
"Affecto will provide a new EFI Data Warehouse and reporting solution , behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system .",1,neutral
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,0,negative
"The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications .",1,neutral
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",0,negative
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,1,neutral
Terms were not disclosed .,1,neutral
"Furthermore , efficiency improvement measures initiated earlier are now bearing fruit , '' CEO Jan Lang said .",2,positive
SSH Establishes New Global Sales and Marketing Group to be led by George Adams ; Adams Establishes Global Sales and Marketing Group to Drive Worldwide Programs Supporting SSH Tectia Enterprise Security Solutions,1,neutral
"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .",0,negative
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",1,neutral
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",2,positive
"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .",2,positive
"`` Following last year 's good profit development , we have entered the current year in a good position .",2,positive
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,2,positive
"---------------------------------------------------------------------- -------------- Munich , 14 January 2008 : BAVARIA Industriekapital AG closed the acquisition of Elcoteq Communications Technology GmbH in Offenburg , Germany , with the approval of the",1,neutral
Results are expected late in 2006 .,1,neutral
"`` We are delighted to welcome Elisa to our Board of Directors , '' said Garry McGuire , CEO of RMG Networks .",2,positive
The site will cover over six hectares .,1,neutral
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",1,neutral
The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,2,positive
Revenues at the same time grew 14 percent to 43 million euros .,2,positive
"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",1,neutral
IonPhasE 's second major owner is venture capital firm Aura Capital .,1,neutral
Fortum also has a blocking stake in Northwestern TGK-1 .,1,neutral
"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide .",1,neutral
The new activity will incur an investment of about 5 MEUR .,1,neutral
Elcoteq 's revenues in 2007 were approximately EUR 120 million .,1,neutral
Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,2,positive
Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .,1,neutral
Performance in the second half of 2009 exceeded expectations .,2,positive
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",2,positive
The order is related to renewing the network of the telecommunications operator .,1,neutral
"So far as is known , he did not sell shares that he owns personally .",1,neutral
"The connectivity unit has more than 100 e-invoice customers , and the number of annual transactions stands at nearly one million .",1,neutral
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",1,neutral
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",2,positive
